well,cleaning_agent,reagent
A1,2000,1000
A2,2000,1000
A3,2000,1000
A4,2000,1000
A5,2000,1000
A6,2000,1000
B1,2000,1000
B2,2000,1000
B3,2000,1000
B4,2000,1000
B5,2000,1000
B6,2000,1000
C1,2000,1000
C2,2000,1000
C3,2000,1000
C4,2000,1000
C5,2000,1000
C6,2000,1000
D1,2000,1000
D2,2000,1000
D3,2000,1000
D4,2000,1000
D5,2000,1000
D6,2000,1000
