well,cleaning_agent,reagent
A1,2000,2000
A2,2000,2000
A3,2000,2000
A4,2000,2000
A5,2000,2000
A6,2000,2000
B1,2000,2000
B2,2000,2000
B3,2000,2000
B4,2000,2000
B5,2000,2000
B6,2000,2000
C1,2000,2000
C2,2000,2000
C3,2000,2000
C4,2000,2000
C5,2000,2000
C6,2000,2000
D1,2000,2000
D2,2000,2000
D3,2000,2000
D4,2000,2000
D5,2000,2000
D6,2000,2000
